ticket_id,company_id,channel_id,contact_id,reason
"282","2","0","859","missing_channel_fk"
"283","2","0","1095","missing_channel_fk"
"284","2","0","288","missing_channel_fk"
"285","3","0","1532","missing_channel_fk"
"286","3","0","1533","missing_channel_fk"
"287","3","0","1534","missing_channel_fk"
"288","3","0","1510","missing_channel_fk"
"289","3","0","1716","missing_channel_fk"
"290","2","0","882","missing_channel_fk"
"291","3","0","1535","missing_channel_fk"
"292","2","0","968","missing_channel_fk"
"293","3","0","1536","missing_channel_fk"
"294","3","0","1537","missing_channel_fk"
"295","3","0","1717","missing_channel_fk"
"296","3","0","1538","missing_channel_fk"
"297","3","0","1539","missing_channel_fk"
"298","3","0","1666","missing_channel_fk"
"299","3","0","1718","missing_channel_fk"
"300","3","0","1540","missing_channel_fk"
"301","3","0","1719","missing_channel_fk"
"302","3","0","1719","missing_channel_fk"
"303","2","0","1153","missing_channel_fk"
"304","3","0","1541","missing_channel_fk"
"305","2","0","1463","missing_channel_fk"
"306","3","0","1720","missing_channel_fk"
"307","3","0","1542","missing_channel_fk"
"308","3","0","1651","missing_channel_fk"
"309","2","0","2969","missing_channel_fk"
"310","2","0","1312","missing_channel_fk"
"311","3","0","1722","missing_channel_fk"
"312","3","0","1543","missing_channel_fk"
"313","3","0","1723","missing_channel_fk"
"314","3","0","1726","missing_channel_fk"
"315","3","0","1726","missing_channel_fk"
"316","3","0","1544","missing_channel_fk"
"317","3","0","1545","missing_channel_fk"
"318","3","0","1546","missing_channel_fk"
"319","3","0","1547","missing_channel_fk"
"320","3","0","1728","missing_channel_fk"
"321","3","0","1729","missing_channel_fk"
"322","3","0","1730","missing_channel_fk"
"323","3","0","1549","missing_channel_fk"
"324","3","0","1731","missing_channel_fk"
"325","3","0","1552","missing_channel_fk"
"326","3","0","1551","missing_channel_fk"
"327","3","0","1732","missing_channel_fk"
"328","3","0","1733","missing_channel_fk"
"329","2","0","213","missing_channel_fk"
"330","3","0","1553","missing_channel_fk"
"331","3","0","1554","missing_channel_fk"
"332","3","0","1734","missing_channel_fk"
"333","3","0","1735","missing_channel_fk"
"334","2","0","887","missing_channel_fk"
"335","3","0","1736","missing_channel_fk"
"336","3","0","1555","missing_channel_fk"
"337","3","0","1558","missing_channel_fk"
"338","3","0","1556","missing_channel_fk"
"339","3","0","1737","missing_channel_fk"
"340","3","0","1559","missing_channel_fk"
"341","3","0","1524","missing_channel_fk"
"342","3","0","1739","missing_channel_fk"
"343","3","0","1740","missing_channel_fk"
"344","3","0","1742","missing_channel_fk"
"345","3","0","1743","missing_channel_fk"
"346","3","0","1745","missing_channel_fk"
"347","3","0","1745","missing_channel_fk"
"348","3","0","1557","missing_channel_fk"
"349","3","0","1560","missing_channel_fk"
"350","3","0","1561","missing_channel_fk"
"351","3","0","1746","missing_channel_fk"
"352","3","0","1747","missing_channel_fk"
"353","3","0","1562","missing_channel_fk"
"354","3","0","1563","missing_channel_fk"
